api_1_tool_name,api_2_tool_name,api_1_name,api_2_name,api_1,api_2,dependent_parameters,dependency_description
Worldwide Recipes,Cocktails,Search,Search by ingredient,227d70f831cdf088d5f9f5367ed3c51b7f6c31fe7339c0c60cc81b28529a147c,d541425ad4e36440210286c017c1967149c1bd1c39ab562575f9b159be049471,"[{""name_in_first_api"": ""results"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the ingredient used to search for cocktails.""}]",
Worldwide Recipes,Recipe Finder,Search,lunch/ingredient,227d70f831cdf088d5f9f5367ed3c51b7f6c31fe7339c0c60cc81b28529a147c,94ad76ab14337a67e79f018440b8eeabe516d50f9b26259a3e9c86f90de470e5,"[{""name_in_first_api"": ""q"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the search term for recipes, which can be an ingredient or a recipe name.""}]",
Worldwide Recipes,Recipe Finder,Search,breakfast/ingredient,227d70f831cdf088d5f9f5367ed3c51b7f6c31fe7339c0c60cc81b28529a147c,1e644b0fb481d955c9c585345d3317f39336ccdc54be5a8d1c03b0c6291dfe40,"[{""name_in_first_api"": ""q"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the search term for recipes, which can be used to find recipes containing a specific ingredient.""}]",
Worldwide Recipes,Food Nutrition Information,Search,Search foods using keywords.,227d70f831cdf088d5f9f5367ed3c51b7f6c31fe7339c0c60cc81b28529a147c,56298fa94ee3c60e49a8179c3febb6187efcd04976b8ed6d89653e7ed1edd17a,"[{""name_in_first_api"": ""q"", ""name_in_second_api"": ""query"", ""description"": ""This parameter represents the search query for recipes or foods.""}]",
Worldwide Recipes,Recipe Finder,Search,dinner/ingredient,227d70f831cdf088d5f9f5367ed3c51b7f6c31fe7339c0c60cc81b28529a147c,8be07792ee96b143d28df0ed96edc5b708a77e43223ea324c529fc7c69bbc6ce,"[{""name_in_first_api"": ""q"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the search term for recipes, which can be an ingredient or a dish name.""}]",
Worldwide Recipes,Food Nutrition Information,Search,Find food by id,227d70f831cdf088d5f9f5367ed3c51b7f6c31fe7339c0c60cc81b28529a147c,f57408debc7c000d6ac5e87061e9516403f56248394d1837496c365f907985e7,"[{""name_in_first_api"": ""results"", ""name_in_second_api"": ""fooId"", ""description"": ""This parameter represents the food ID obtained from the search results of the Worldwide Recipes API, which is used to retrieve detailed nutritional information from the Food Nutrition Information API.""}]",
Cocktails,Cocktails,Random,Search by name,dfa0a878cc221cec15a9a0048b06286400a6fc0559a6a852677b449770dffdfc,48c5e10bb0c7ec2d0432dd084d967efc994d204d36ca27aafd785f9cb5240902,"[{""name_in_first_api"": ""body[0].name"", ""name_in_second_api"": ""name"", ""description"": ""This parameter represents the name of the cocktail.""}]",
Cocktails,Recipe Finder,Random,breakfast/ingredient,dfa0a878cc221cec15a9a0048b06286400a6fc0559a6a852677b449770dffdfc,1e644b0fb481d955c9c585345d3317f39336ccdc54be5a8d1c03b0c6291dfe40,"[{""name_in_first_api"": ""ingredients"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the list of ingredients in a cocktail, which can be used to search for recipes containing those ingredients.""}]",
Cocktails,Cocktails,Random,Search by ingredient,dfa0a878cc221cec15a9a0048b06286400a6fc0559a6a852677b449770dffdfc,d541425ad4e36440210286c017c1967149c1bd1c39ab562575f9b159be049471,"[{""name_in_first_api"": ""ingredients"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the list of ingredients in a cocktail, which can be used to search for cocktails containing any of these ingredients.""}]",
Cocktails,Recipe Finder,Random,dinner/ingredient,dfa0a878cc221cec15a9a0048b06286400a6fc0559a6a852677b449770dffdfc,8be07792ee96b143d28df0ed96edc5b708a77e43223ea324c529fc7c69bbc6ce,"[{""name_in_first_api"": ""ingredients"", ""name_in_second_api"": ""ingredient"", ""description"": ""This parameter represents the list of ingredients in a cocktail, which can be used to search for recipes containing those ingredients.""}]",
