category,product_id,tool_name,tool_description,api_name,api_url,required_parameters,test_endpoint,api_description,api_endpoint,hash_id
Food,api_dcbd91ed-ada3-40df-9953-5cf7f635d2a2,Worldwide Recipes,"Over 2 MILLION recipes, nutrition, ingredients, users and reviews worldwide.",Search,https://worldwide-recipes1.p.rapidapi.com/api/search,"[{'name': 'q', 'type': 'STRING', 'description': '', 'default': 'chicken'}]","{'success': False, 'message': 'Unprocessable Entity', 'results': ['term start must be in integer']}",Search Recipe,https://worldwide-recipes1.p.rapidapi.com/api/search,227d70f831cdf088d5f9f5367ed3c51b7f6c31fe7339c0c60cc81b28529a147c
Food,api_83a9b0be-0a22-4b7d-bdfd-90213e363f30,Cocktails,The cocktail API with over 300 Cocktails! Get Cocktail and the ingredients. Get a random one or search!,Random,https://cocktails3.p.rapidapi.com/random,[],"{'success': True, 'body': [{'name': 'christmas bishop', 'ingredients': ['20 whole cloves ', '1 lemon, washed and dried ', '1 orange, washed and dried ', '1 pinch ground mace (Optional)', '1 pinch saffron (Optional)', '1 (750 milliliter) bottle red wine ', '2 tablespoons white sugar ', '1 cinnamon stick ']}]}",Get a random cocktail with all ingredients,https://cocktails3.p.rapidapi.com/random,dfa0a878cc221cec15a9a0048b06286400a6fc0559a6a852677b449770dffdfc
Food,api_83a9b0be-0a22-4b7d-bdfd-90213e363f30,Cocktails,The cocktail API with over 300 Cocktails! Get Cocktail and the ingredients. Get a random one or search!,Random Nonalcoholic,https://cocktails3.p.rapidapi.com/random/nonalcoholic,[],"{'success': True, 'body': [{'name': 'nonalcoholic virgin strawberry daiquiri', 'ingredients': ['6-8 large fresh strawberries, hulled', '1 ounce freshly squeezed lime juice', '0.25 ounce simple syrup', '10.5 cups cracked ice', 'Whole strawberry for garnish']}]}",Get a random nonalcoholic cocktail with all ingredients,https://cocktails3.p.rapidapi.com/random/nonalcoholic,305dba5c2dfeb14dbce99f55e088d0049402dc0d2c18af03863eb259ee8fcf0b
Food,api_83a9b0be-0a22-4b7d-bdfd-90213e363f30,Cocktails,The cocktail API with over 300 Cocktails! Get Cocktail and the ingredients. Get a random one or search!,Search by ingredient,https://cocktails3.p.rapidapi.com/search/byingredient/Gin,"[{'name': 'ingredient', 'type': 'string', 'description': '', 'default': 'Gin'}]",{'message': 'This endpoint is disabled for your subscription'},Get cocktails by its ingredients,https://cocktails3.p.rapidapi.com/search/byingredient/Gin,d541425ad4e36440210286c017c1967149c1bd1c39ab562575f9b159be049471
Food,api_83a9b0be-0a22-4b7d-bdfd-90213e363f30,Cocktails,The cocktail API with over 300 Cocktails! Get Cocktail and the ingredients. Get a random one or search!,Search by name,https://cocktails3.p.rapidapi.com/search/byname/Vodka Martini,"[{'name': 'name', 'type': 'string', 'description': '', 'default': 'Vodka Martini'}]",{'message': 'This endpoint is disabled for your subscription'},Search Cocktail by name,https://cocktails3.p.rapidapi.com/search/byname/Vodka Martini,48c5e10bb0c7ec2d0432dd084d967efc994d204d36ca27aafd785f9cb5240902
Food,api_c1bf7a48-44ed-42e7-9d19-938d970e53b5,Recipe Finder,"This recipe API allows users to search for recipes by ingredient. It returns a JSON response with the matching recipes, including the name, list of ingredients, and instructions.",breakfast/ingredient,https://recipe-finder3.p.rapidapi.com/breakfast/recipes,"[{'name': 'ingredient', 'type': 'STRING', 'description': '', 'default': 'eggs'}]","{'name': 'Omelette:', 'ingredients': ['3 eggs', '¼ cup milk', '1 tablespoon butter', '¼ cup shredded cheese', 'salt and pepper to taste'], 'instructions': ['1. In a bowl, whisk together eggs and milk.', '2. In a large skillet over medium heat, melt butter. Add egg mixture and cook, stirring occasionally, until eggs are firm and cooked through.', '3. Add cheese, salt, and pepper, and fold omelette in half. Serve immediately.']}","This API endpoint allows users to retrieve a random breakfast  recipe that contains a specific ingredient. Users can make a GET request to the endpoint with the name of the ingredient as a query parameter, and the API will return a JSON response with the given recipe, including the name, list of ingredients, and instructions.",https://recipe-finder3.p.rapidapi.com/breakfast/recipes,1e644b0fb481d955c9c585345d3317f39336ccdc54be5a8d1c03b0c6291dfe40
Food,api_c1bf7a48-44ed-42e7-9d19-938d970e53b5,Recipe Finder,"This recipe API allows users to search for recipes by ingredient. It returns a JSON response with the matching recipes, including the name, list of ingredients, and instructions.",dinner/ingredient,https://recipe-finder3.p.rapidapi.com/dinner/recipes,"[{'name': 'ingredient', 'type': 'STRING', 'description': '', 'default': 'chicken'}]","{'name': 'Chicken Teriyaki', 'ingredients': ['-1 lb chicken breast, cut into small strips', '-2 tbsp soy sauce', '-2 tbsp honey', '-1 tbsp vegetable oil', '-3 cloves garlic, minced', '-1/2 tsp ground ginger', '-1/4 cup pineapple juice', '-1/4 cup chicken broth', '-1/2 cup diced pineapple'], 'instructions': ['1. In a large bowl, whisk together soy sauce, honey, vegetable oil, garlic, ginger, pineapple juice, and chicken broth.', '2. Add chicken strips to the bowl and coat evenly with the marinade. Let sit for at least 30 minutes.', '3. Preheat a grill or grill pan over medium-high heat.', '4. Grill chicken strips for 5-7 minutes per side, or until cooked through.', '5. Serve with diced pineapple and enjoy!']}","This API endpoint allows users to retrieve a random dinner  recipe that contains a specific ingredient. Users can make a GET request to the endpoint with the name of the ingredient as a query parameter, and the API will return a JSON response with the given recipe, including the name, list of ingredients, and instructions.",https://recipe-finder3.p.rapidapi.com/dinner/recipes,8be07792ee96b143d28df0ed96edc5b708a77e43223ea324c529fc7c69bbc6ce
Food,api_c1bf7a48-44ed-42e7-9d19-938d970e53b5,Recipe Finder,"This recipe API allows users to search for recipes by ingredient. It returns a JSON response with the matching recipes, including the name, list of ingredients, and instructions.",lunch/ingredient,https://recipe-finder3.p.rapidapi.com/lunch/recipes,"[{'name': 'ingredient', 'type': 'STRING', 'description': '', 'default': 'pork'}]","{'name': 'Hawaiian Haystacks', 'ingredients': ['-1 lb. pork tenderloin, cut into 1-inch cubes', '-1 tbsp. olive oil', '-1 (20 oz.) can pineapple chunks, drained', '-1 (14 oz.) can coconut milk', '-1 tbsp. cornstarch', '-1 tsp. curry powder', '-1/2 tsp. salt', '-1/4 tsp. black pepper', '-4 cups cooked rice', '-4 green onions, thinly sliced'], 'instructions': ['1. In a large skillet over medium-high heat, cook the pork in the olive oil until browned.', '2. Add the pineapple, coconut milk, cornstarch, curry powder, salt, and pepper to the skillet, and stir until well combined.', '3. Bring the mixture to a boil, and then reduce the heat to low and let simmer for about 5 minutes, or until the sauce has thickened.', '4. Serve the pork over the cooked rice, and top with the green onions.']}","This API endpoint allows users to retrieve a random lunch  recipe that contains a specific ingredient. Users can make a GET request to the endpoint with the name of the ingredient as a query parameter, and the API will return a JSON response with the given recipe, including the name, list of ingredients, and instructions.",https://recipe-finder3.p.rapidapi.com/lunch/recipes,94ad76ab14337a67e79f018440b8eeabe516d50f9b26259a3e9c86f90de470e5
Food,api_84250368-42fb-4a87-8018-c0212a547730,Food Nutrition Information,search and find foods with their nutritional information,Find food by id,https://food-nutrition-information.p.rapidapi.com/food/1497465,"[{'name': 'fooId', 'type': 'NUMBER', 'description': '', 'default': '1497465'}]","{'discontinuedDate': '', 'foodComponents': [], 'foodAttributes': [{'id': 1502114, 'value': 10, 'name': 'Added Brand/Sub Brand Information'}], 'foodPortions': [], 'fdcId': 1497465, 'description': 'CHEESE', 'publicationDate': '3/19/2021', 'foodNutrients': [{'type': 'FoodNutrient', 'nutrient': {'id': 1089, 'number': '303', 'name': 'Iron, Fe', 'rank': 5400, 'unitName': 'mg'}, 'foodNutrientDerivation': {'id': 75, 'code': 'LCCD', 'description': 'Calculated from a daily value percentage per serving size measure'}, 'id': 17924055, 'amount': 0}, {'type': 'FoodNutrient', 'nutrient': {'id': 1087, 'number': '301', 'name': 'Calcium, Ca', 'rank': 5300, 'unitName': 'mg'}, 'foodNutrientDerivation': {'id': 75, 'code': 'LCCD', 'description': 'Calculated from a daily value percentage per serving size measure'}, 'id': 17924054, 'amount': 1071}, {'type': 'FoodNutrient', 'nutrient': {'id': 1257, 'number': '605', 'name': 'Fatty acids, total trans', 'rank': 15400, 'unitName': 'g'}, 'foodNutrientDerivation': {'id': 70, 'code': 'LCCS', 'description': 'Calculated from value per serving size measure'}, 'id': 17924060, 'amount': 0}, {'type': 'FoodNutrient', 'nutrient': {'id': 1162, 'number': '401', 'name': 'Vitamin C, total ascorbic acid', 'rank': 6300, 'unitName': 'mg'}, 'foodNutrientDerivation': {'id': 75, 'code': 'LCCD', 'description': 'Calculated from a daily value percentage per serving size measure'}, 'id': 17924058, 'amount': 0}, {'type': 'FoodNutrient', 'nutrient': {'id': 1258, 'number': '606', 'name': 'Fatty acids, total saturated', 'rank': 9700, 'unitName': 'g'}, 'foodNutrientDerivation': {'id': 70, 'code': 'LCCS', 'description': 'Calculated from value per serving size measure'}, 'id': 17924061, 'amount': 14.29}, {'type': 'FoodNutrient', 'nutrient': {'id': 2000, 'number': '269', 'name': 'Sugars, total including NLEA', 'rank': 1510, 'unitName': 'g'}, 'foodNutrientDerivation': {'id': 70, 'code': 'LCCS', 'description': 'Calculated from value per serving size measure'}, 'id': 17924052, 'amount': 0}, {'type': 'FoodNutrient', 'nutrient': {'id': 1008, 'number': '208', 'name': 'Energy', 'rank': 300, 'unitName': 'kcal'}, 'foodNutrientDerivation': {'id': 70, 'code': 'LCCS', 'description': 'Calculated from value per serving size measure'}, 'id': 17924051, 'amount': 357}, {'type': 'FoodNutrient', 'nutrient': {'id': 1093, 'number': '307', 'name': 'Sodium, Na', 'rank': 5800, 'unitName': 'mg'}, 'foodNutrientDerivation': {'id': 70, 'code': 'LCCS', 'description': 'Calculated from value per serving size measure'}, 'id': 17924056, 'amount': 1179}, {'type': 'FoodNutrient', 'nutrient': {'id': 1079, 'number': '291', 'name': 'Fiber, total dietary', 'rank': 1200, 'unitName': 'g'}, 'foodNutrientDerivation': {'id': 75, 'code': 'LCCD', 'description': 'Calculated from a daily value percentage per serving size measure'}, 'id': 17924053, 'amount': 0}, {'type': 'FoodNutrient', 'nutrient': {'id': 1004, 'number': '204', 'name': 'Total lipid (fat)', 'rank': 800, 'unitName': 'g'}, 'foodNutrientDerivation': {'id': 70, 'code': 'LCCS', 'description': 'Calculated from value per serving size measure'}, 'id': 17924049, 'amount': 25}, {'type': 'FoodNutrient', 'nutrient': {'id': 1253, 'number': '601', 'name': 'Cholesterol', 'rank': 15700, 'unitName': 'mg'}, 'foodNutrientDerivation': {'id': 70, 'code': 'LCCS', 'description': 'Calculated from value per serving size measure'}, 'id': 17924059, 'amount': 89}, {'type': 'FoodNutrient', 'nutrient': {'id': 1005, 'number': '205', 'name': 'Carbohydrate, by difference', 'rank': 1110, 'unitName': 'g'}, 'foodNutrientDerivation': {'id': 75, 'code': 'LCCD', 'description': 'Calculated from a daily value percentage per serving size measure'}, 'id': 17924050, 'amount': 0}, {'type': 'FoodNutrient', 'nutrient': {'id': 1104, 'number': '318', 'name': 'Vitamin A, IU', 'rank': 7500, 'unitName': 'IU'}, 'foodNutrientDerivation': {'id': 75, 'code': 'LCCD', 'description': 'Calculated from a daily value percentage per serving size measure'}, 'id': 17924057, 'amount': 714}, {'type': 'FoodNutrient', 'nutrient': {'id': 1003, 'number': '203', 'name': 'Protein', 'rank': 600, 'unitName': 'g'}, 'foodNutrientDerivation': {'id': 70, 'code': 'LCCS', 'description': 'Calculated from value per serving size measure'}, 'id': 17924048, 'amount': 32.14}], 'dataType': 'Branded', 'foodClass': 'Branded', 'modifiedDate': '4/5/2018', 'availableDate': '4/5/2018', 'brandOwner': 'Belgioioso Cheese, Inc.', 'brandName': 'BELGIOIOSO', 'dataSource': 'LI', 'brandedFoodCategory': 'Cheese', 'gtinUpc': '031142526752', 'ingredients': 'CRAFTED FROM CULTURED MILK, ENZYMES, SALT.', 'marketCountry': 'United States', 'servingSize': 28, 'servingSizeUnit': 'g', 'foodUpdateLog': [{'discontinuedDate': '', 'foodAttributes': [], 'fdcId': 1865705, 'description': 'CHEESE, ROMANO', 'publicationDate': '7/29/2021', 'dataType': 'Branded', 'foodClass': 'Branded', 'modifiedDate': '4/5/2018', 'availableDate': '4/5/2018', 'brandOwner': 'Belgioioso Cheese, Inc.', 'brandName': 'BELGIOIOSO', 'dataSource': 'LI', 'brandedFoodCategory': 'Cheese', 'gtinUpc': '031142526752', 'ingredients': 'CRAFTED FROM CULTURED MILK, ENZYMES, SALT.', 'marketCountry': 'United States', 'servingSize': 28, 'servingSizeUnit': 'g', 'packageWeight': '5 oz/142 g'}, {'discontinuedDate': '', 'foodAttributes': [], 'fdcId': 1497465, 'description': 'CHEESE', 'publicationDate': '3/19/2021', 'dataType': 'Branded', 'foodClass': 'Branded', 'modifiedDate': '4/5/2018', 'availableDate': '4/5/2018', 'brandOwner': 'Belgioioso Cheese, Inc.', 'brandName': 'BELGIOIOSO', 'dataSource': 'LI', 'brandedFoodCategory': 'Cheese', 'gtinUpc': '031142526752', 'ingredients': 'CRAFTED FROM CULTURED MILK, ENZYMES, SALT.', 'marketCountry': 'United States', 'servingSize': 28, 'servingSizeUnit': 'g'}, {'discontinuedDate': '', 'foodAttributes': [], 'fdcId': 1205413, 'description': 'CHEESE', 'publicationDate': '2/26/2021', 'dataType': 'Branded', 'foodClass': 'Branded', 'modifiedDate': '4/5/2018', 'availableDate': '4/5/2018', 'brandOwner': 'Belgioioso Cheese, Inc.', 'brandName': 'BELGIOIOSO', 'subbrandName': '', 'dataSource': 'LI', 'brandedFoodCategory': 'Cheese', 'gtinUpc': '031142526752', 'ingredients': 'CRAFTED FROM CULTURED MILK, ENZYMES, SALT.', 'marketCountry': 'United States', 'servingSize': 28, 'servingSizeUnit': 'g', 'packageWeight': '', 'notaSignificantSourceOf': ''}], 'labelNutrients': {'fat': {'value': 7}, 'saturatedFat': {'value': 4}, 'transFat': {'value': 0}, 'cholesterol': {'value': 24.9}, 'sodium': {'value': 330}, 'carbohydrates': {'value': 0}, 'fiber': {'value': 0}, 'sugars': {'value': 0}, 'protein': {'value': 9}, 'calcium': {'value': 300}, 'iron': {'value': 0}, 'calories': {'value': 100}}}",Retrieves a single food item by an FDC ID.,https://food-nutrition-information.p.rapidapi.com/food/1497465,f57408debc7c000d6ac5e87061e9516403f56248394d1837496c365f907985e7
Food,api_84250368-42fb-4a87-8018-c0212a547730,Food Nutrition Information,search and find foods with their nutritional information,Search foods using keywords.,https://food-nutrition-information.p.rapidapi.com/foods/search,"[{'name': 'query', 'type': 'STRING', 'description': '', 'default': 'cheese'}]","{'totalHits': 7607, 'currentPage': 1, 'totalPages': 7607, 'pageList': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'foodSearchCriteria': {'query': 'cheese', 'generalSearchInput': 'cheese', 'brandOwner': 'Kar Nut Products Company', 'pageNumber': 1, 'numberOfResultsPerPage': 50, 'pageSize': 1, 'requireAllWords': False}, 'foods': [{'fdcId': 2089606, 'description': 'CHEESE', 'lowercaseDescription': 'cheese', 'dataType': 'Branded', 'gtinUpc': '817944010640', 'publishedDate': '2021-10-28', 'brandOwner': ""Murray's Products LLC"", 'brandName': ""MURRAY'S"", 'ingredients': ""PASTEURIZED COWS' MILK, SALT, CULTURES, ENZYMES."", 'marketCountry': 'United States', 'foodCategory': 'Cheese', 'modifiedDate': '2017-07-14', 'dataSource': 'LI', 'packageWeight': '2.82 oz/80 g', 'servingSizeUnit': 'g', 'servingSize': 28, 'tradeChannels': ['NO_TRADE_CHANNEL'], 'allHighlightFields': ""<b>Brand Owner</b>: Murray's <em>Products</em> LLC"", 'score': 708.40967, 'microbes': [], 'foodNutrients': [{'nutrientId': 1003, 'nutrientName': 'Protein', 'nutrientNumber': '203', 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure', 'derivationId': 70, 'value': 21.4, 'foodNutrientSourceId': 9, 'foodNutrientSourceCode': '12', 'foodNutrientSourceDescription': ""Manufacturer's analytical; partial documentation"", 'rank': 600, 'indentLevel': 1, 'foodNutrientId': 25748963, 'percentDailyValue': 12}, {'nutrientId': 1004, 'nutrientName': 'Total lipid (fat)', 'nutrientNumber': '204', 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure', 'derivationId': 70, 'value': 17.9, 'foodNutrientSourceId': 9, 'foodNutrientSourceCode': '12', 'foodNutrientSourceDescription': ""Manufacturer's analytical; partial documentation"", 'rank': 800, 'indentLevel': 1, 'foodNutrientId': 25748964, 'percentDailyValue': 8}, {'nutrientId': 1005, 'nutrientName': 'Carbohydrate, by difference', 'nutrientNumber': '205', 'unitName': 'G', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure', 'derivationId': 75, 'value': 0, 'foodNutrientSourceId': 9, 'foodNutrientSourceCode': '12', 'foodNutrientSourceDescription': ""Manufacturer's analytical; partial documentation"", 'rank': 1110, 'indentLevel': 2, 'foodNutrientId': 25748965, 'percentDailyValue': 0}, {'nutrientId': 1008, 'nutrientName': 'Energy', 'nutrientNumber': '208', 'unitName': 'KCAL', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure', 'derivationId': 70, 'value': 250, 'foodNutrientSourceId': 9, 'foodNutrientSourceCode': '12', 'foodNutrientSourceDescription': ""Manufacturer's analytical; partial documentation"", 'rank': 300, 'indentLevel': 1, 'foodNutrientId': 25748966}, {'nutrientId': 2000, 'nutrientName': 'Sugars, total including NLEA', 'nutrientNumber': '269', 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure', 'derivationId': 70, 'value': 0, 'foodNutrientSourceId': 9, 'foodNutrientSourceCode': '12', 'foodNutrientSourceDescription': ""Manufacturer's analytical; partial documentation"", 'rank': 1510, 'indentLevel': 3, 'foodNutrientId': 25748967}, {'nutrientId': 1079, 'nutrientName': 'Fiber, total dietary', 'nutrientNumber': '291', 'unitName': 'G', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure', 'derivationId': 75, 'value': 0, 'foodNutrientSourceId': 9, 'foodNutrientSourceCode': '12', 'foodNutrientSourceDescription': ""Manufacturer's analytical; partial documentation"", 'rank': 1200, 'indentLevel': 3, 'foodNutrientId': 25748968, 'percentDailyValue': 0}, {'nutrientId': 1087, 'nutrientName': 'Calcium, Ca', 'nutrientNumber': '301', 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure', 'derivationId': 75, 'value': 143, 'foodNutrientSourceId': 9, 'foodNutrientSourceCode': '12', 'foodNutrientSourceDescription': ""Manufacturer's analytical; partial documentation"", 'rank': 5300, 'indentLevel': 1, 'foodNutrientId': 25748969, 'percentDailyValue': 4}, {'nutrientId': 1089, 'nutrientName': 'Iron, Fe', 'nutrientNumber': '303', 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure', 'derivationId': 75, 'value': 0, 'foodNutrientSourceId': 9, 'foodNutrientSourceCode': '12', 'foodNutrientSourceDescription': ""Manufacturer's analytical; partial documentation"", 'rank': 5400, 'indentLevel': 1, 'foodNutrientId': 25748970, 'percentDailyValue': 0}, {'nutrientId': 1093, 'nutrientName': 'Sodium, Na', 'nutrientNumber': '307', 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure', 'derivationId': 70, 'value': 786, 'foodNutrientSourceId': 9, 'foodNutrientSourceCode': '12', 'foodNutrientSourceDescription': ""Manufacturer's analytical; partial documentation"", 'rank': 5800, 'indentLevel': 1, 'foodNutrientId': 25748971, 'percentDailyValue': 9}, {'nutrientId': 1104, 'nutrientName': 'Vitamin A, IU', 'nutrientNumber': '318', 'unitName': 'IU', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure', 'derivationId': 75, 'value': 714, 'foodNutrientSourceId': 9, 'foodNutrientSourceCode': '12', 'foodNutrientSourceDescription': ""Manufacturer's analytical; partial documentation"", 'rank': 7500, 'indentLevel': 1, 'foodNutrientId': 25748972, 'percentDailyValue': 4}, {'nutrientId': 1162, 'nutrientName': 'Vitamin C, total ascorbic acid', 'nutrientNumber': '401', 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure', 'derivationId': 75, 'value': 0, 'foodNutrientSourceId': 9, 'foodNutrientSourceCode': '12', 'foodNutrientSourceDescription': ""Manufacturer's analytical; partial documentation"", 'rank': 6300, 'indentLevel': 1, 'foodNutrientId': 25748973, 'percentDailyValue': 0}, {'nutrientId': 1253, 'nutrientName': 'Cholesterol', 'nutrientNumber': '601', 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure', 'derivationId': 70, 'value': 54, 'foodNutrientSourceId': 9, 'foodNutrientSourceCode': '12', 'foodNutrientSourceDescription': ""Manufacturer's analytical; partial documentation"", 'rank': 15700, 'indentLevel': 1, 'foodNutrientId': 25748974, 'percentDailyValue': 6}, {'nutrientId': 1257, 'nutrientName': 'Fatty acids, total trans', 'nutrientNumber': '605', 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure', 'derivationId': 70, 'value': 0, 'foodNutrientSourceId': 9, 'foodNutrientSourceCode': '12', 'foodNutrientSourceDescription': ""Manufacturer's analytical; partial documentation"", 'rank': 15400, 'indentLevel': 1, 'foodNutrientId': 25748975}, {'nutrientId': 1258, 'nutrientName': 'Fatty acids, total saturated', 'nutrientNumber': '606', 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure', 'derivationId': 70, 'value': 12.5, 'foodNutrientSourceId': 9, 'foodNutrientSourceCode': '12', 'foodNutrientSourceDescription': ""Manufacturer's analytical; partial documentation"", 'rank': 9700, 'indentLevel': 1, 'foodNutrientId': 25748976, 'percentDailyValue': 18}], 'finalFoodInputFoods': [], 'foodMeasures': [], 'foodAttributes': [], 'foodAttributeTypes': [], 'foodVersionIds': []}], 'aggregations': {'dataType': {'Branded': 7607}, 'nutrients': {}}}",Search for foods using keywords.,https://food-nutrition-information.p.rapidapi.com/foods/search,56298fa94ee3c60e49a8179c3febb6187efcd04976b8ed6d89653e7ed1edd17a
