category,product_id,tool_name,tool_description,api_description,api_endpoint,hash_id
Food,api_dcbd91ed-ada3-40df-9953-5cf7f635d2a2,Worldwide Recipes,"Over 2 MILLION recipes, nutrition, ingredients, users and reviews worldwide.",Get detail of recipe,https://worldwide-recipes1.p.rapidapi.com/api/detail,167fc042b59a982a15435b73868e5747
Food,api_dcbd91ed-ada3-40df-9953-5cf7f635d2a2,Worldwide Recipes,"Over 2 MILLION recipes, nutrition, ingredients, users and reviews worldwide.",Get recipes by author,https://worldwide-recipes1.p.rapidapi.com/api/recipes-by-author,d8c4f1e706a85fd52ada9a5f7751ec71
Food,api_dcbd91ed-ada3-40df-9953-5cf7f635d2a2,Worldwide Recipes,"Over 2 MILLION recipes, nutrition, ingredients, users and reviews worldwide.",Get reviews,https://worldwide-recipes1.p.rapidapi.com/api/review,47f3a387852eb74dbcb62be915f82408
Food,api_dcbd91ed-ada3-40df-9953-5cf7f635d2a2,Worldwide Recipes,"Over 2 MILLION recipes, nutrition, ingredients, users and reviews worldwide.",Get more recipe from author,https://worldwide-recipes1.p.rapidapi.com/api/more-from-author,67ef2bfb05661d58711f443f61f1b094
Food,api_dcbd91ed-ada3-40df-9953-5cf7f635d2a2,Worldwide Recipes,"Over 2 MILLION recipes, nutrition, ingredients, users and reviews worldwide.",Get related recipes,https://worldwide-recipes1.p.rapidapi.com/api/related,bf26971d805b29329f343f1d65ffc068
Food,api_dcbd91ed-ada3-40df-9953-5cf7f635d2a2,Worldwide Recipes,"Over 2 MILLION recipes, nutrition, ingredients, users and reviews worldwide.",Search Recipe,https://worldwide-recipes1.p.rapidapi.com/api/search,8ad2beccd20f7d1c917dea250848e31f
Food,api_dcbd91ed-ada3-40df-9953-5cf7f635d2a2,Worldwide Recipes,"Over 2 MILLION recipes, nutrition, ingredients, users and reviews worldwide.",Explore Recipes,https://worldwide-recipes1.p.rapidapi.com/api/explore,9aaca9c9c24f1fb28a00b8a9b5404cd0
Food,api_dcbd91ed-ada3-40df-9953-5cf7f635d2a2,Worldwide Recipes,"Over 2 MILLION recipes, nutrition, ingredients, users and reviews worldwide.",Get Suggestions,https://worldwide-recipes1.p.rapidapi.com/api/suggestions,3cb1ff4b15bd051c0d1101d8df585e16
Food,api_83a9b0be-0a22-4b7d-bdfd-90213e363f30,Cocktails,The cocktail API with over 300 Cocktails! Get Cocktail and the ingredients. Get a random one or search!,Get a random cocktail with all ingredients,https://cocktails3.p.rapidapi.com/random,ef522dcf6eecc204a0df0dd844652434
Food,api_83a9b0be-0a22-4b7d-bdfd-90213e363f30,Cocktails,The cocktail API with over 300 Cocktails! Get Cocktail and the ingredients. Get a random one or search!,Get a random nonalcoholic cocktail with all ingredients,https://cocktails3.p.rapidapi.com/random/nonalcoholic,64338ae4daba4aae86f9d7068708e76a
Food,api_83a9b0be-0a22-4b7d-bdfd-90213e363f30,Cocktails,The cocktail API with over 300 Cocktails! Get Cocktail and the ingredients. Get a random one or search!,Get cocktails by its ingredients,https://cocktails3.p.rapidapi.com/search/byingredient/Gin,289497b1b6c6c259fd140c6e2d8a368b
Food,api_83a9b0be-0a22-4b7d-bdfd-90213e363f30,Cocktails,The cocktail API with over 300 Cocktails! Get Cocktail and the ingredients. Get a random one or search!,Search Cocktail by name,https://cocktails3.p.rapidapi.com/search/byname/Vodka Martini,b7974a6aebc10a59cef044c38514867e
