category,product_id,tool_name,tool_description,api_name,api_url,required_parameters,test_endpoint,api_description,api_endpoint,hash_id
Movies,api_24a67518-f6b4-446c-b13e-3b6883b622af,Movie and TV shows Quotes,This API helps query for Famous Movies and TV shows quotes.,GET quotes by actor,https://movie-and-tv-shows-quotes.p.rapidapi.com/quotes/actor/al_pachino,"[{'name': 'actor', 'type': 'string', 'description': '', 'default': 'al_pachino'}]","[{'id': 18, 'quote': 'Keep your friends close, but your enemies closer.', 'character': 'Michael Corleone', 'quoteFrom': 'The Godfather Part II', 'actor': 'Al Pachino', 'year': 1974}]",This endpoint will return back quotes by the given actor or actress.,https://movie-and-tv-shows-quotes.p.rapidapi.com/quotes/actor/al_pachino,fd510a5c54928d2512ecdfb16dfd543e1a14f51554173f510114d3934d996e12
Movies,api_24a67518-f6b4-446c-b13e-3b6883b622af,Movie and TV shows Quotes,This API helps query for Famous Movies and TV shows quotes.,GET a random quote,https://movie-and-tv-shows-quotes.p.rapidapi.com/quotes/random/quote,[],"{'id': 49, 'quote': 'Well, I proved once and for all that the limb is mightier than the thumb.', 'character': 'Ellie Andrews', 'quoteFrom': 'It Happened One Night', 'actor': 'Claudette Colbert', 'year': 1934}",This endpoint will return a random quote,https://movie-and-tv-shows-quotes.p.rapidapi.com/quotes/random/quote,9e93debf2bc7f793422a4abd2df31c894b6d1d45c2f5b5b42093465b50928a79
Movies,api_24a67518-f6b4-446c-b13e-3b6883b622af,Movie and TV shows Quotes,This API helps query for Famous Movies and TV shows quotes.,GET quote by movie or TV show name,https://movie-and-tv-shows-quotes.p.rapidapi.com/quotes/from/the_wizard_of_oz,"[{'name': 'show', 'type': 'string', 'description': '', 'default': 'the_wizard_of_oz'}]","[{'id': 4, 'quote': ""Toto, I've a feeling we're not in Kansas anymore."", 'character': 'Dorothy Gale', 'actor': 'judy Garland', 'quoteFrom': 'The Wizard of Oz', 'year': 1939}, {'id': 11, 'quote': ""There's no place like home."", 'character': 'Dorothy Gale', 'quoteFrom': 'The Wizard of Oz', 'actor': 'Judy Graland', 'year': 1939}]",This endpoint will return quotes by given movie or TV show name,https://movie-and-tv-shows-quotes.p.rapidapi.com/quotes/from/the_wizard_of_oz,52bc0efb6427bc9fe8b26da282f28cfa9e17db514978abd24051abbd67cd757b
Movies,api_24a67518-f6b4-446c-b13e-3b6883b622af,Movie and TV shows Quotes,This API helps query for Famous Movies and TV shows quotes.,Get quote by character,https://movie-and-tv-shows-quotes.p.rapidapi.com/quotes/character/dorothy_gale,"[{'name': 'character', 'type': 'string', 'description': '', 'default': 'dorothy_gale'}]","[{'id': 4, 'quote': ""Toto, I've a feeling we're not in Kansas anymore."", 'character': 'Dorothy Gale', 'actor': 'judy Garland', 'quoteFrom': 'The Wizard of Oz', 'year': 1939}, {'id': 11, 'quote': ""There's no place like home."", 'character': 'Dorothy Gale', 'quoteFrom': 'The Wizard of Oz', 'actor': 'Judy Graland', 'year': 1939}]",This end point will return back quotes delivered by the given character,https://movie-and-tv-shows-quotes.p.rapidapi.com/quotes/character/dorothy_gale,838198c99ed36133f371bcef5c59b73084ea68664162c52e2618c826bd088129
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",/titles/search/keyword/{keyword},https://moviesdatabase.p.rapidapi.com/titles/search/keyword/{keyword},"[{'name': 'keyword', 'type': 'STRING', 'description': 'Keyword', 'default': ''}]","{'error': 'Wrong filter query parameter : keyword', 'stack': '🥞', 'results': None}",,https://moviesdatabase.p.rapidapi.com/titles/search/keyword/{keyword},90f400748e89f0492e6920916e24ac9676413aaf8c68c9c37f15f26090819be3
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",/titles/search/title/{title},https://moviesdatabase.p.rapidapi.com/titles/search/title/{title},"[{'name': 'title', 'type': 'STRING', 'description': 'Title of  the Movie/Series', 'default': ''}]","{'error': 'Wrong filter query parameter : title', 'stack': '🥞', 'results': None}",Search by Title,https://moviesdatabase.p.rapidapi.com/titles/search/title/{title},ac4b49a9ade7c105b156244c99f3b5c46c45e0b38897fda2957602d61c9851f5
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",/actors/random,https://moviesdatabase.p.rapidapi.com/actors/random,[],"{'entries': 10, 'results': [{'nconst': 'nm1805909', 'primaryName': 'Sailesh D. Pawar', 'birthYear': '\\N', 'deathYear': '\\N', 'primaryProfession': 'make_up_department,producer,miscellaneous', 'knownForTitles': 'tt7602562,tt0379370,tt0290331'}, {'nconst': 'nm1805910', 'primaryName': 'Lourdes Pearce', 'birthYear': '\\N', 'deathYear': '\\N', 'primaryProfession': 'make_up_department', 'knownForTitles': 'tt0438102'}, {'nconst': 'nm1805911', 'primaryName': 'Maria Grazia Peirce', 'birthYear': '\\N', 'deathYear': '\\N', 'primaryProfession': 'make_up_department', 'knownForTitles': 'tt7222860,tt0112352'}, {'nconst': 'nm1805912', 'primaryName': 'Heli Pekuri', 'birthYear': '\\N', 'deathYear': '\\N', 'primaryProfession': 'make_up_department', 'knownForTitles': 'tt0249131'}, {'nconst': 'nm1805913', 'primaryName': 'Sam Penny', 'birthYear': '\\N', 'deathYear': '\\N', 'primaryProfession': 'make_up_department,costume_department', 'knownForTitles': 'tt0412074,tt1544562'}, {'nconst': 'nm1805914', 'primaryName': 'Alzira Pereira', 'birthYear': '\\N', 'deathYear': '\\N', 'primaryProfession': 'make_up_department', 'knownForTitles': 'tt0439460,tt14036938,tt6849890'}, {'nconst': 'nm1805915', 'primaryName': 'Clara Politi', 'birthYear': '\\N', 'deathYear': '\\N', 'primaryProfession': 'make_up_department', 'knownForTitles': 'tt0054609'}, {'nconst': 'nm1805916', 'primaryName': 'Galina Ponomaryova', 'birthYear': '\\N', 'deathYear': '\\N', 'primaryProfession': 'make_up_department', 'knownForTitles': 'tt8320378,tt1925421,tt2802154,tt0376968'}, {'nconst': 'nm1805917', 'primaryName': 'Elissa Prager', 'birthYear': '\\N', 'deathYear': '\\N', 'primaryProfession': 'make_up_department,special_effects,actress', 'knownForTitles': 'tt2270372,tt3204164,tt1866249,tt0772560'}, {'nconst': 'nm1805918', 'primaryName': 'Colleen Provost', 'birthYear': '\\N', 'deathYear': '\\N', 'primaryProfession': 'make_up_department', 'knownForTitles': 'tt0780567,tt0437245,tt0376890,tt0800205'}]}",,https://moviesdatabase.p.rapidapi.com/actors/random,a703bd315f4ec2ef9d5d116c43770961e3a96ae2e9a92f436a7361237f265ae1
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",/titles/utils/titleTypes,https://moviesdatabase.p.rapidapi.com/titles/utils/titleTypes,[],"{'results': [None, 'movie', 'musicVideo', 'podcastEpisode', 'podcastSeries', 'short', 'tvEpisode', 'tvMiniSeries', 'tvMovie', 'tvPilot', 'tvSeries', 'tvShort', 'tvSpecial', 'video', 'videoGame']}",,https://moviesdatabase.p.rapidapi.com/titles/utils/titleTypes,4a8e9e925b0d3cf7f48876e725080dfe4f101b4ba11a1cdded43d7ba40220a8a
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",/actors,https://moviesdatabase.p.rapidapi.com/actors,[],"{'page': 1, 'next': '/actors?page=2&limit=', 'entries': 10, 'results': [{'_id': '617082fa2299cb9f2c2717ac', 'nconst': 'nm0000001', 'primaryName': 'Fred Astaire', 'birthYear': 1899, 'deathYear': 1987, 'primaryProfession': 'soundtrack,actor,miscellaneous', 'knownForTitles': 'tt0053137,tt0072308,tt0031983,tt0050419'}, {'_id': '617082fa2299cb9f2c2717ad', 'nconst': 'nm0000005', 'primaryName': 'Ingmar Bergman', 'birthYear': 1918, 'deathYear': 2007, 'primaryProfession': 'writer,director,actor', 'knownForTitles': 'tt0050976,tt0050986,tt0060827,tt0069467'}, {'_id': '617082fa2299cb9f2c2717ae', 'nconst': 'nm0000006', 'primaryName': 'Ingrid Bergman', 'birthYear': 1915, 'deathYear': 1982, 'primaryProfession': 'actress,soundtrack,producer', 'knownForTitles': 'tt0038109,tt0038787,tt0034583,tt0036855'}, {'_id': '617082fa2299cb9f2c2717af', 'nconst': 'nm0000007', 'primaryName': 'Humphrey Bogart', 'birthYear': 1899, 'deathYear': 1957, 'primaryProfession': 'actor,soundtrack,producer', 'knownForTitles': 'tt0042593,tt0034583,tt0043265,tt0037382'}, {'_id': '617082fa2299cb9f2c2717b0', 'nconst': 'nm0000008', 'primaryName': 'Marlon Brando', 'birthYear': 1924, 'deathYear': 2004, 'primaryProfession': 'actor,soundtrack,director', 'knownForTitles': 'tt0070849,tt0078788,tt0047296,tt0068646'}, {'_id': '617082fa2299cb9f2c2717b1', 'nconst': 'nm0000009', 'primaryName': 'Richard Burton', 'birthYear': 1925, 'deathYear': 1984, 'primaryProfession': 'actor,soundtrack,producer', 'knownForTitles': 'tt0061184,tt0087803,tt0059749,tt0057877'}, {'_id': '617082fa2299cb9f2c2717b2', 'nconst': 'nm0000010', 'primaryName': 'James Cagney', 'birthYear': 1899, 'deathYear': 1986, 'primaryProfession': 'actor,soundtrack,director', 'knownForTitles': 'tt0035575,tt0029870,tt0042041,tt0031867'}, {'_id': '617082fa2299cb9f2c2717b3', 'nconst': 'nm0000011', 'primaryName': 'Gary Cooper', 'birthYear': 1901, 'deathYear': 1961, 'primaryProfession': 'actor,soundtrack,stunts', 'knownForTitles': 'tt0027996,tt0044706,tt0035896,tt0034167'}, {'_id': '617082fa2299cb9f2c2717b4', 'nconst': 'nm0000012', 'primaryName': 'Bette Davis', 'birthYear': 1908, 'deathYear': 1989, 'primaryProfession': 'actress,soundtrack,make_up_department', 'knownForTitles': 'tt0056687,tt0035140,tt0042192,tt0031210'}, {'_id': '617082fa2299cb9f2c2717b5', 'nconst': 'nm0000004', 'primaryName': 'John Belushi', 'birthYear': 1949, 'deathYear': 1982, 'primaryProfession': 'actor,soundtrack,writer', 'knownForTitles': 'tt0078723,tt0077975,tt0072562,tt0080455'}]}",,https://moviesdatabase.p.rapidapi.com/actors,315779f69850ad2b505a5b5a8db545c263cc319e44120e14c0841fa81d75e2c8
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",/titles/x/upcoming,https://moviesdatabase.p.rapidapi.com/titles/x/upcoming,[],"{'page': 1, 'next': None, 'entries': 0, 'results': []}",,https://moviesdatabase.p.rapidapi.com/titles/x/upcoming,bcc951bd80bf898e42a3be8024d4df202acb570049f0bc541beb9de8c35ba664
