category,product_id,name,description
Movies,api_f21e64d2-3fb6-4d55-8aa8-e98734551288,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members"
Music,api_b7cf9aca-e647-4ec1-b11e-ff4fbfc33d67,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more."
Movies,api_051be1c6-b448-4ad0-85db-5fa209156eca,Anime DB,"Complete anime data. Ranking, synopsis, genre, search by title. Over 20k data updated everyday"
Movies,api_34d9da68-22ba-4ad6-bb58-0b0f125ccdcd,Advanced Movie Search,"Search for movies via advanced queries like genre, name, etc. And get all their details"
Weather,api_195a1540-7bd7-435a-8031-30d2d4fdb4cc,OpenWeather,Openweather
Food,api_dcbd91ed-ada3-40df-9953-5cf7f635d2a2,Worldwide Recipes,"Over 2 MILLION recipes, nutrition, ingredients, users and reviews worldwide."
Food,api_c1bf7a48-44ed-42e7-9d19-938d970e53b5,Recipe Finder,"This recipe API allows users to search for recipes by ingredient. It returns a JSON response with the matching recipes, including the name, list of ingredients, and instructions."
Food,api_84250368-42fb-4a87-8018-c0212a547730,Food Nutrition Information,search and find foods with their nutritional information
Food,api_83a9b0be-0a22-4b7d-bdfd-90213e363f30,Cocktails,The cocktail API with over 300 Cocktails! Get Cocktail and the ingredients. Get a random one or search!
Weather,api_94ff48b0-9302-49b4-9aca-bfca3c567948,Easy Weather,"Detailed current conditions, hourly forecasts, daily forecasts, and weather alerts by latitude and longitude in JSON format."
Movies,api_24a67518-f6b4-446c-b13e-3b6883b622af,Movie and TV shows Quotes,This API helps query for Famous Movies and TV shows quotes.
Travel,api_1524ad50-92f6-4951-be37-a4770115028e,Booking.com_v2,"Real-time data, unofficial API Booking.com\nThis API helps to query rooms, price, facilities, policities.. from many hotels around the world to create a travel"
Travel,api_5913502c-7e1c-462e-98f9-22aa09e0ebfa,Tripadvisor,"Tripadvisor API helps to query realtime Hotels search, Flights prices, Restaurants, Attracting locations, etc to create a travelling site."
Shopping,,Taobao DataHub,Realtime product data from Taobao.
Shopping,,temu.com shopping API(Realtime Api Scrapper From Temu.com,Product searching and details from Temu.
Shopping,,shopee working api,Get shopee product and shop data.
Shopping,,1688 DataHub,Search for products on China's 1688 Platform
