name,description
myPlayvv,Music sharing service
API,Application Programming Interface
music,"Related to sounds, songs, and compositions"
L-yrics API,Main endpoint to get song lyrics
Main endpoint,Get the song lyrics
song,Query parameter for song name
artist,Query parameter for artist name
querystring,Parameters used in the API request
headers,Headers for API request containing API key and host information
response,Response object containing the result of the API request
SpeechNoted API,Text to Speech
Get Voices,Get available voice
Voice,Representation of different speech sounds
Billboard API,Billboard charts API for various music charts
Bolivia Songs,API endpoint for Bolivia Songs chart
Slovakia Songs,API endpoint for Slovakia Songs chart
Rojmusic,rojmusic stranen kurdi
weather,查询天气信息的API节点
melodyn,radio
weather,查询天气
Get songs with ALL metadata and stats (play counts),Get all tracks with full metadata including recent Spotify play counts.
Get Top 50 indie songs,Get TOP 50 indie songs based on their daily stream increase ratio
Search indie songs by filters,"Search song by track name, artist name, label, release date, ISRC, composer name, genre"
weather,API related to weather information
Billboard-API,"Providing the Billboard chart rankings and information on titles, artists, lyrics, images, and more."
New Zealand Songs,Provide the New Zealand Songs chart information
BILLBOARD JAPAN HOT 100,Provide the BILLBOARD JAPAN HOT 100 chart information
weather,相关天气信息的API节点
getAllQuotes,"You will get all the quotes here based on.
- limit
- page"
getStationByCountry,"Getting all Stations by country based on.
- country id
- limit
- page
- order"
weather,Node representing weather information
online-music,Music site
music,Related to music and songs
song,Specific musical composition with lyrics
retro-music,Musical genre from the past
Russian-music,Music from Russia
chanson,French-style song popular in Russia
online-platform,Digital platform accessible via the internet
Steam Market and Store,"Welcome to the Steam Market API, your gateway to a treasure trove of information about the vibrant world of gaming on Steam! 😄🎮 Our API provides a seamless experience for developers and gamers alike, offering a range of powerful endpoints to retrieve all the juicy details about the Steam market and store."
Retrieve Buy/Sell informations by ID,"From a given ID, retrieve the latest Buy/Sell orders placed on the Steam Store."
Get latest activity by ID,"Given a specific ID, retrieve the last activity dealed with it. Basic information about the user performing the activity is also provided."
Get Price History By ID,"For a given ID, get the price history together with the number of items sold."
Search Coming Soon Games,Search Coming Soon Games
weather,Weather information
Search On Sale Games,Search On Sale Games
Search,"Search for E-Sports players, teams, and tournaments by providing a search term."
TournamentPlaceholderImage,Get the tournament placeholder image in PNG format.
ESports,Node representing the category of E-Sports.
Weather,Node representing weather-related APIs.
Protocol,A set of rules for communication between software applications
Plugin.proto,A tool for working with protocols in a plugin architecture
weather,Related to weather conditions
GET,HTTP method for requesting data
requests,Python library for making HTTP requests
X-RapidAPI-Key,API key for using RapidAPI platform
X-RapidAPI-Host,Host header for RapidAPI requests
COD API 2.0,Provides an easy access to the COD api leaderboard endpoints.
Season Skill Rating MW 2 Ranked,"Get season Skill Rating for top 250 players, MW 2 ranked Leaderboard"
API,Represents an application programming interface
Leaderboard,A list of rankings in a competition
Endpoint,A specific URL within an API that performs a certain action
Parameter,A variable that affects the behavior of an API
Request,Sending a message to an API to perform an action
Response,The data sent back from an API after a request
URL,"Uniform Resource Locator, specifies the location of a resource on the internet"
WordleAPI,An api that can sustain client wordle matches sessions
/documentation, 
/documentation/environment, 
Security,Security controller
RapiApiMatch,RapiApi Match controller
RapiApiSecurity,RapiApi Security controller
Match,Match controller
HealthCheck,HealthCheck controller
Documentation,OpenApi documentation. Api Tree
chess puzzles,Access chess puzzles
weather,Query weather information
advanced,Advanced search options
range,Get random puzzles within a specified rating range
Tournaments,Check the scheduled tournaments.
Challenges,Check the seasonal and weekly challenges.
Esports,Check the Esports events.
CricketLiveApi,cricket-live-scores
match,API endpoint to get cricket match details
Football Highlight,Best Live
Elhighlights,Elhighlights
Ok.RU Emb Link,Ok.RU Emb Link
Youtube Emb Link,Youtube Emb Link
Get Movie Reviews By Id,This Endpoint returns a complete list of reviews associated to the ID. You can obtain the ID from the Get Movie By ID endpoint.
Get Movie Images By ID,This Endpoint returns a complete list of images associated to the ID. You can obtain the ID from the Get Movie By ID endpoint.
Get Movie ID By Title,Use this endpoint to retrieve the ID of the movies you are interested in. You can search your movie or your preferite actor.
weather,Weather information retrieval
weather,Queries weather information
filmarks,Get popular titles from Filmarks API
Get All Memes,Gets all memes
Programming Memes Reddit,Scraping various programming subreddits everyday to deliver best programming memes out there.
weather,Node related to weather information
Get Character by ID,Get an Individual Character
Get all characters,Get all the characters with options to limit amount of responses and skip an amount of characters
Throne of Glass Characters,API for Throne of Glass Characters
New Girl API,This API provides data for the TV show called New Girl.
Get extra character details,Get extra details about a character. (Currently being updated with more data)
Get show facts & rotten tomato scores,You can find show data including season by season rotten tomato scores by hitting the home route.
Get character by id,"Providing the character id, you will get that specific character in the response. You can find a character id by hitting `/characters` and grabbing an id from there."
Get recurring characters,This endpoint gets the recurring characters within the show.
PoetryDB,The world's first API for Next Generation internet poets
title,List of all poem titles on Poetry DB
/title/{title},All poems on Poetry DB with a specific title
linecount,All poems on Poetry DB with a specific number of lines
author,List of all poets on Poetry DB
User by email,"get detail user informations, requires users's own cubiculus credential"
weather,related to weather information
Tiktok Video Downloader,Tiktok Downloader. The fastest way to download without watermark video from Tiktok.
Video,This will return the details of video and download link
Weather,A node representing weather-related data or services.
Statistics,"Stats of wheelResults:
""count""
""percentage""
""lastOccurredAt""
""lastSeenBefore""
""hotFrequencyPercentage"": 1.11
Note that Duration is Hourly basis 1,2,3,.......72 etc"
latest-outcome,Last Spin data
history,the last 20 spins histories includes all details about the game
Workout Planner,"Get workout plans based on time duration, target muscle, fitness level, fitness goals, and equipment available"
API,The /customized endpoint provides a way for users to generate personalized workout plans based on their preferences
Parameters,"Parameters such as time, equipment, muscle, fitness level, and fitness goals are used to customize the workout plan"
CO2RE Discord,This webhook is external with Discord App
Discord App,A popular communication platform for gamers
API,Application Programming Interface used for communication between software applications
HTTP GET request,The method used to request data from a server
RapidAPI,A platform that connects developers with APIs
JSON,A data interchange format
Python Requests Library,A library used for making HTTP requests in Python
Cancer Rates by USA State API,API providing cancer rates by USA state
State,Represents a USA state in the data
Get by filter,API endpoint to filter cancer rates by specific criteria
Get by state,API endpoint to retrieve cancer rates by state
planetaryoverview,get the Planetary Overview of the day
horoscope,retrieve the horoscope for a specific sign and date
